Month,Origin,Total Number of Flights,Average Depature Delay,Total National Average Departure Delay
Jun-08,LAX,5808,16.07076446280992,174.48344954637508
Jun-08,ORD,4046,25.454028670291645,174.48344954637508
Jun-08,PHX,3126,12.722328854766475,174.48344954637508
Jun-08,SEA,3526,12.655133295519002,174.48344954637508
Jun-08,SFO,4046,20.00123578843302,174.48344954637508
Jul-08,ATL,3476,18.791426927502876,156.84510601351772
Jul-08,DFW,2508,16.784688995215312,156.84510601351772
Jul-08,EWR,2671,23.141894421564956,156.84510601351772
Jul-08,JFK,3841,19.392866441030982,156.84510601351772
Jul-08,LAS,4379,12.654487325873488,156.84510601351772
Jul-08,LAX,6357,14.139373918515023,156.84510601351772
Jul-08,ORD,4025,17.93913043478261,156.84510601351772
Jul-08,PHX,3360,10.646428571428572,156.84510601351772
Jul-08,SEA,3842,9.573659552316501,156.84510601351772
Jul-08,SFO,4350,13.781149425287357,156.84510601351772
Aug-08,ATL,3414,8.26332747510252,140.37937452872342
Aug-08,DFW,2348,16.25979557069847,140.37937452872342
Aug-08,EWR,2759,21.73504893077202,140.37937452872342
Aug-08,JFK,3814,21.214997378080756,140.37937452872342
Aug-08,LAS,4212,11.718898385565053,140.37937452872342
Aug-08,LAX,6075,12.092510288065844,140.37937452872342
Aug-08,ORD,3926,16.18415690269995,140.37937452872342
Aug-08,PHX,3144,9.578880407124682,140.37937452872342
Aug-08,SEA,3718,10.624260355029586,140.37937452872342
Aug-08,SFO,4294,12.707498835584536,140.37937452872342
Sep-08,ATL,2742,3.450765864332604,68.11928087153042
Sep-08,DFW,2002,8.306693306693306,68.11928087153042
Sep-08,EWR,2210,10.435746606334842,68.11928087153042
Sep-08,JFK,3181,8.289845960389815,68.11928087153042
Sep-08,LAS,3584,5.343470982142857,68.11928087153042
Sep-08,LAX,4749,4.999368288060644,68.11928087153042
Sep-08,ORD,3531,11.758425375247805,68.11928087153042
Sep-08,PHX,2641,4.1461567588034836,68.11928087153042
Sep-08,SEA,3198,4.555659787367104,68.11928087153042
Sep-08,SFO,3596,6.833147942157953,68.11928087153042
Oct-08,ATL,2783,7.609054976643909,59.60123532383457
Oct-08,DFW,1971,8.770167427701674,59.60123532383457
Oct-08,EWR,2394,9.487886382623225,59.60123532383457
Oct-08,JFK,3201,4.498281786941581,59.60123532383457
Oct-08,LAS,3620,3.8870165745856355,59.60123532383457
Oct-08,LAX,4966,5.162303664921466,59.60123532383457
Oct-08,ORD,3587,5.6866462224700305,59.60123532383457
Oct-08,PHX,2805,3.912655971479501,59.60123532383457
